,studytime,failures,absences,G1,G2,G3,Clusters
101,3,0,0,16,17,17,1
102,1,0,4,10,13,14,1
103,2,0,26,7,6,6,2
104,2,0,0,16,18,18,1
105,4,0,10,10,11,11,2
106,4,0,8,7,8,8,2
107,3,0,2,16,18,18,1
108,4,0,6,10,13,13,1
109,3,0,4,14,15,16,1
110,1,0,6,18,19,19,1
111,3,1,0,7,10,10,1
112,2,1,6,10,13,13,1
113,1,0,10,18,19,19,2
114,2,0,8,9,9,9,2
115,2,0,2,15,15,16,1
116,2,0,2,11,13,14,1
117,1,0,0,13,14,13,1
118,2,1,20,9,7,8,2
119,1,0,6,14,13,13,1
120,2,0,2,16,15,15,1
121,4,0,6,16,14,15,1
122,2,0,2,13,13,13,1
123,1,0,18,14,11,13,2
124,2,0,0,8,7,8,1
125,1,0,0,13,13,12,1
126,2,0,0,7,10,11,1
127,2,3,2,7,8,9,1
128,1,2,0,7,4,0,1
129,1,0,8,18,18,18,2
130,3,2,0,12,0,0,1
131,1,0,0,8,0,0,1
132,1,0,12,10,13,12,2
133,1,0,16,12,11,11,2
134,2,0,0,9,0,0,1
135,3,0,0,11,0,0,1
136,2,0,0,10,0,0,1
137,1,2,0,4,0,0,1
138,2,1,0,14,12,12,1
139,1,0,0,16,16,15,1
140,4,0,0,7,9,0,1
141,1,2,8,9,9,9,2
142,3,0,2,9,11,11,1
143,1,0,2,14,14,13,1
144,1,3,0,5,0,0,1
145,2,0,0,8,11,11,1
146,2,3,0,6,7,0,1
147,2,0,2,10,11,11,1
148,1,0,0,7,6,0,1
149,1,3,0,8,9,10,1
150,1,3,0,6,5,0,1
151,1,1,6,12,13,14,1
152,3,2,8,10,10,10,2
153,1,3,0,5,0,0,1
154,1,0,0,11,11,12,1
155,2,0,2,11,8,8,1
156,1,0,8,16,12,13,2
157,1,3,6,9,8,10,1
158,1,0,2,17,15,15,1
159,2,1,4,10,12,12,1
160,1,2,0,7,6,0,1
161,2,2,6,5,9,7,1
162,1,1,0,7,0,0,1
163,1,0,2,10,10,10,1
164,2,3,0,5,8,7,1
165,1,1,16,12,11,12,2
166,2,0,4,10,10,10,1
167,2,0,0,14,15,16,1
168,2,0,0,6,7,0,1
169,2,0,0,14,14,14,1
170,1,2,0,6,5,0,1
171,2,0,2,13,15,16,1
172,2,0,0,13,11,10,1
173,2,3,0,8,7,0,1
174,2,0,4,10,11,9,1
175,2,0,4,10,9,9,1
176,2,0,2,13,13,11,1
177,2,0,4,6,5,6,1
178,1,0,10,10,8,9,2
179,2,0,4,10,10,11,1
180,2,0,10,9,8,8,2
181,2,0,2,12,13,12,1
182,2,0,0,16,17,17,1
183,2,0,56,9,9,8,0
184,2,0,14,12,13,12,2
185,2,0,12,12,12,11,2
186,1,0,2,11,12,11,1
187,2,0,0,15,15,15,1
188,2,0,6,8,7,9,1
189,2,0,4,8,9,10,1
190,2,0,10,11,12,13,2
191,2,0,0,8,8,9,1
192,2,0,12,7,8,8,2
193,1,0,8,8,9,10,2
194,1,0,0,13,14,14,1
195,2,0,0,14,15,15,1
196,1,0,4,17,15,16,1
197,1,0,8,9,9,10,2
198,1,1,24,18,18,18,2
199,2,0,0,9,9,10,1
200,2,0,2,16,16,16,1
201,2,0,6,8,10,10,1
202,2,0,4,9,9,10,1
203,1,0,18,7,6,6,2
204,4,0,6,10,10,11,1
205,3,1,28,10,9,9,2
206,2,3,5,7,7,7,1
207,2,0,10,11,12,13,2
208,1,0,6,9,9,10,1
209,3,0,6,7,7,7,1
210,4,0,10,8,8,8,2
211,2,0,13,12,12,13,2
212,2,0,0,12,13,14,1
213,2,1,15,6,7,8,2
214,1,0,12,8,10,10,2
215,2,0,2,14,15,15,1
216,2,2,22,6,6,4,2
217,2,1,13,6,6,8,2
218,1,0,3,7,7,8,1
219,3,0,4,9,10,10,1
220,2,0,2,6,6,6,1
221,3,1,0,6,5,0,1
222,2,0,2,16,16,17,1
223,2,0,0,12,13,13,1
224,3,0,0,13,13,14,1
225,2,1,16,9,8,7,2
226,2,0,10,16,15,15,2
227,2,0,2,12,11,12,1
228,2,0,14,10,8,9,2
229,3,0,10,12,10,12,2
230,2,0,14,13,13,14,2
231,2,0,4,11,11,11,1
232,2,0,14,11,9,9,2
233,2,0,2,14,13,13,1
234,2,0,18,9,7,6,2
235,3,0,10,11,9,10,2
236,2,0,4,14,13,13,1
237,1,0,20,13,12,12,2
238,2,0,2,13,11,11,1
239,2,1,0,7,7,0,1
240,2,0,14,12,12,12,2
241,2,0,2,10,11,12,1
242,1,0,0,6,0,0,1
243,1,0,0,13,12,12,1
244,3,0,0,7,0,0,1
245,1,0,6,18,18,18,1
246,1,0,4,12,12,13,1
247,1,3,16,6,8,8,2
248,2,1,8,3,5,5,2
249,1,0,0,13,15,15,1
250,1,1,0,6,8,8,1
251,2,0,6,7,10,10,1
252,1,1,4,6,9,8,1
253,1,0,0,8,9,8,1
254,1,0,0,8,12,12,1
255,1,1,2,7,9,8,1
256,4,0,6,14,12,13,1
257,2,0,12,11,11,11,2
258,2,0,8,15,14,14,2
259,4,0,0,10,9,0,1
260,2,0,21,17,18,18,2
261,2,0,2,8,8,8,1
262,3,0,1,13,12,12,1
263,3,0,4,10,9,9,1
264,3,0,0,9,10,0,1
265,2,0,13,17,17,17,2
266,2,0,2,9,9,10,1
267,2,0,8,12,10,11,2
268,2,0,10,10,9,10,2
269,2,0,0,6,0,0,1
270,2,2,15,9,9,9,2
271,4,0,4,15,14,14,1
272,2,0,2,11,11,11,1
273,2,0,2,15,14,14,1
274,2,0,2,10,10,10,1
275,2,0,6,12,12,12,1
276,2,0,75,10,9,9,0
277,1,0,22,9,9,9,2
278,2,1,15,9,8,8,2
279,1,0,8,10,11,10,2
280,1,0,30,8,8,8,2
281,1,1,19,11,9,10,2
282,4,0,1,12,12,12,1
283,2,0,4,8,9,10,1
284,2,0,4,10,9,11,1
285,2,0,2,12,10,11,1
286,3,0,5,18,18,19,1
287,3,0,6,13,12,12,1
288,3,0,6,15,14,14,1
289,2,0,9,15,13,15,2
290,2,0,11,12,11,11,2
291,3,0,0,15,15,15,1
292,2,1,12,12,12,13,2
293,4,0,6,18,18,18,1
294,3,0,8,14,13,14,2
295,1,0,4,14,12,11,1
296,2,0,0,10,9,0,1
297,2,0,10,10,8,8,2
298,4,0,0,14,13,14,1
299,1,0,5,16,15,16,1
300,2,0,14,12,10,11,2
301,1,0,0,11,11,10,1
302,3,0,0,15,12,14,1
303,4,0,0,17,17,18,1
304,2,1,20,15,14,13,2
305,2,1,8,14,12,12,2
306,1,0,0,17,18,18,1
307,1,1,38,8,9,8,0
308,2,1,0,15,12,12,1
309,2,1,18,12,10,10,2
310,2,1,0,9,9,0,1
311,2,0,20,14,12,13,2
312,2,1,3,13,11,11,1
313,2,1,22,13,10,11,2
314,3,2,14,15,13,13,2
315,3,1,40,13,11,11,0
316,2,0,0,8,8,0,1
317,3,0,9,9,10,9,2
318,3,0,0,11,11,10,1
319,2,0,2,11,11,11,1
320,2,0,23,13,13,13,2
321,2,0,12,11,9,9,2
322,3,0,3,11,11,11,1
323,3,0,1,12,14,15,1
324,3,0,0,16,15,15,1
325,3,0,3,9,12,11,1
326,1,0,3,14,15,16,1
327,1,0,8,11,10,10,2
328,3,0,7,10,9,9,1
329,3,0,4,14,14,14,1
330,4,0,2,9,8,8,1
331,3,0,7,12,14,14,1
332,2,0,0,7,0,0,1
333,2,0,0,8,8,0,1
334,4,0,0,10,9,0,1
335,3,0,16,16,15,15,2
336,3,1,12,14,13,13,2
337,2,0,0,7,8,0,1
338,4,0,7,16,15,17,1
339,2,0,4,9,10,10,1
340,3,1,4,11,12,11,1
341,2,1,0,10,10,0,1
342,2,0,11,16,15,15,2
343,2,1,0,9,8,0,1
344,3,0,4,11,10,10,1
345,3,0,7,13,13,14,1
346,3,0,9,16,15,16,2
347,3,0,0,10,10,9,1
348,3,0,0,13,15,15,1
349,1,1,10,11,13,13,2
350,2,3,8,8,7,8,2
351,2,0,2,13,13,13,1
352,1,1,7,8,7,8,1
353,1,1,4,8,8,8,1
354,2,0,4,13,11,11,1
355,2,0,0,10,9,9,1
356,2,0,4,12,13,13,1
357,2,0,2,12,12,11,1
358,1,0,4,10,10,10,1
359,3,0,0,18,16,16,1
360,2,0,0,13,13,13,1
361,2,1,2,13,12,12,1
362,2,0,0,11,11,10,1
363,2,0,0,16,15,15,1
364,2,0,0,12,11,12,1
365,2,0,4,10,10,10,1
366,3,0,0,13,13,13,1
367,1,1,0,7,6,0,1
368,1,0,0,11,10,10,1
369,2,0,10,14,12,11,2
370,2,2,4,7,7,9,1
371,1,0,3,14,12,12,1
372,3,0,8,13,11,11,2
373,1,0,14,6,5,5,2
374,3,0,0,19,18,19,1
375,3,0,2,8,8,10,1
376,3,2,4,15,14,15,1
377,2,0,4,8,9,10,1
378,2,0,0,15,15,15,1
379,2,0,17,10,10,10,2
380,2,0,4,15,14,14,1
381,1,0,5,7,6,7,1
382,2,0,2,11,11,10,1
383,1,1,0,6,5,0,1
384,1,1,14,6,5,5,2
385,3,0,2,10,9,10,1
386,1,0,7,6,5,6,1
387,3,1,0,7,5,0,1
388,2,0,0,7,9,8,1
389,2,1,0,6,5,0,1
390,2,2,11,9,9,9,2
391,1,0,3,14,16,16,1
392,1,3,3,10,8,7,1
393,1,0,0,11,12,10,1
394,1,0,5,8,9,9,1
